NewDeathsperMillion,TotalDeathsperMillion
1.84,303.33
2.4,305.73
0.92,306.65
1.94,308.59
1.75,310.34
1.57,311.91
1.94,313.84
2.21,316.06
2.49,318.55
2.86,321.4
2.86,324.26
3.13,327.4
4.15,331.55
3.96,335.51
3.23,338.74
2.95,341.69
3.04,344.73
3.32,348.05
3.69,351.74
3.04,354.78
2.77,357.55
3.78,361.33
2.86,364.18
3.6,367.78
3.96,371.74
4.24,375.99
3.13,379.12
3.69,382.81
4.06,386.87
2.77,389.63
3.87,393.5
4.15,397.65
4.06,401.71
4.06,405.77
3.69,409.45
4.15,413.6
4.06,417.66
4.15,421.81
3.96,425.77
5.26,431.03
3.96,434.99
4.7,439.7
4.61,444.31
4.89,449.19
4.43,453.62
3.87,457.49
5.72,463.21
2.86,466.06
3.23,469.29
0.55,469.84
3.69,473.53
5.07,478.6
3.69,482.29
4.15,486.44
3.23,489.67
5.07,494.74
3.87,498.61
4.06,502.67
3.96,506.63
4.79,511.43
3.32,514.75
3.5,518.25
4.24,522.49
4.15,526.64
4.06,530.7
4.15,534.84
4.43,539.27
4.15,543.42
4.15,547.57
2.3,549.87
4.61,554.48
0.92,555.4
3.32,558.72
3.23,561.95
1.84,563.79
0.28,564.07
1.84,565.92
2.21,568.13
2.03,570.16
2.12,572.28
0.74,573.01
1.01,574.03
1.01,575.04
1.11,576.15
1.01,577.16
1.66,578.82
2.12,580.94
2.03,582.97
1.94,584.91
0,584.91
1.66,586.57
0.65,587.21
0.37,587.58
0.55,588.14
0.37,588.5
0.37,588.87
0.83,589.7
0.37,590.07
0.92,590.99
0.65,591.64
0.65,592.28
0.65,592.93
0.55,593.48
0.65,594.13
0.55,594.68
1.66,596.34
1.66,598
1.2,599.2
1.29,600.49
1.29,601.78
1.11,602.89
1.01,603.9
1.66,605.56
1.11,606.67
1.29,607.96
1.29,609.25
1.57,610.82
1.29,612.11
2.12,614.23
0.37,614.6
1.38,615.98
0.92,616.9
1.84,618.75
1.66,620.4
1.11,621.51
1.94,623.45
1.84,625.29
2.4,627.69
1.48,629.16
2.03,631.19
1.84,633.04
1.2,634.23
1.38,635.62
1.48,637.09
1.38,638.48
1.66,640.14
2.3,642.44
1.38,643.82
1.75,645.57
1.84,647.42
1.48,648.89
1.11,650
1.11,651.11
0.92,652.03
1.29,653.32
1.01,654.33
1.66,655.99
1.75,657.75
1.11,658.85
1.2,660.05
1.75,661.8
1.01,662.82
1.84,664.66
1.94,666.6
1.84,668.44
2.03,670.47
1.84,672.31
1.84,674.16
1.84,676
1.29,677.29
2.3,679.6
1.94,681.53
1.75,683.28
1.75,685.04
3.6,688.63
1.84,690.48
3.13,693.61
4.61,698.22
6.09,704.31
5.53,709.84
6.36,716.2
6.82,723.02
5.44,728.46
4.33,732.79
4.52,737.31
6.36,743.67
4.7,748.38
4.7,753.08
7.38,760.45
7.38,767.83
6.55,774.38
4.24,778.62
6.45,785.07
1.48,786.55
6.09,792.63
11.06,803.7
12.63,816.33
13.09,829.42
12.54,841.96
12.72,854.68
8.02,862.7
4.24,866.94
12.35,879.3
6.27,885.57
5.81,891.38
13,904.38
12.17,916.55
6.18,922.72
14.57,937.29
23.05,960.34
24.71,985.05
8.76,993.81
17.98,1011.79
14.48,1026.26
13.92,1040.19
14.48,1054.66
14.75,1069.41
16.96,1086.38
6.36,1092.74
2.49,1095.23
3.96,1099.19
23.14,1122.33
6.55,1128.88
14.2,1143.08
6.45,1149.53
5.81,1155.34
11.62,1166.96
4.89,1171.84
6.27,1178.11
1.84,1179.96
1.29,1181.25
3.69,1184.94
3.87,1188.81
3.87,1192.68
6.27,1198.95
2.67,1201.63
1.57,1203.19
2.58,1205.77
2.21,1207.99
1.2,1209.19
3.13,1212.32
1.01,1213.33
1.2,1214.53
2.58,1217.11
1.84,1218.96
0.92,1219.88
0.83,1220.71
0.92,1221.63
0.83,1222.46
0.92,1223.38
0.55,1223.94
0.46,1224.4
2.67,1227.07
1.11,1228.18
0.92,1229.1
1.01,1230.11
0.92,1231.04
0.92,1231.96
1.48,1233.43
1.2,1234.63
1.29,1235.92
1.2,1237.12
1.11,1238.23
1.84,1240.07
0.55,1240.63
0.55,1241.18
0.28,1241.45
0.92,1242.38
0.83,1243.21
0.46,1243.67
0.55,1244.22
0.37,1244.59
0.28,1244.87
0.37,1245.24
0.37,1245.6
0.18,1245.79
0.46,1246.25
0.28,1246.53
0.28,1246.8
0.37,1247.17
0.28,1247.45
0.55,1248
0.28,1248.28
0.46,1248.74
0.46,1249.2
0.37,1249.57
0.09,1249.66
0.28,1249.94
0.37,1250.31
0.09,1250.4
0.18,1250.58
0.28,1250.86
0.18,1251.04
0.09,1251.14
0.09,1251.23
0.09,1251.32
0.09,1251.41
0.18,1251.6
0.09,1251.69
0.09,1251.78
0.09,1251.87
0.09,1251.97
0.09,1252.06
0.09,1252.15
0.09,1252.24
0.09,1252.33
0.09,1252.43
0.09,1252.52
0.09,1252.61
0.09,1252.7
0.09,1252.8
0.09,1252.89
0.09,1252.98
0.09,1253.07
0.18,1253.26
0.09,1253.35
0.09,1253.44
0.09,1253.53
